kind,task,machine_selectable,process_time
0,0,"(11, 7, 8, 0, 12, 3, 4, 9, 6, 1, 10, 13, 14, 5)","(1, 8, 12, 15, 19, 7, 2, 11, 3, 16, 7, 11, 19, 1)"
0,1,"(0, 13, 11, 10, 14, 2, 3, 7, 6, 4, 1, 8)","(15, 6, 14, 1, 20, 19, 8, 19, 7, 6, 18, 12)"
0,2,"(7, 5, 1, 3, 11, 13, 6, 9, 10)","(1, 15, 7, 1, 1, 17, 18, 17, 7)"
0,3,"(14, 1, 8, 4, 13, 2, 7, 3, 0)","(13, 12, 9, 14, 1, 7, 14, 11, 8)"
0,4,"(0,)","(5,)"
0,5,"(9, 7, 3, 8, 5, 10, 1, 11, 0, 4, 12, 13, 14)","(9, 19, 7, 13, 19, 1, 17, 6, 5, 3, 7, 18, 4)"
0,6,"(2, 9, 13, 5, 11, 12, 10)","(19, 7, 18, 14, 8, 7, 12)"
0,7,"(5, 10, 6, 8, 14, 12, 0, 9, 13)","(10, 13, 17, 15, 10, 4, 5, 1, 14)"
0,8,"(6, 11, 9, 0, 12, 10, 7, 5, 1)","(14, 16, 15, 3, 3, 14, 17, 10, 10)"
0,9,"(4, 1, 5, 9, 7, 14, 12)","(16, 1, 10, 14, 7, 5, 3)"
1,0,"(10, 5, 4, 13)","(19, 4, 18, 17)"
1,1,"(1, 10, 11, 3, 4, 12, 9, 14, 13)","(16, 12, 17, 18, 18, 4, 12, 5, 8)"
1,2,"(9, 5, 8, 14, 1, 7, 13, 4, 0, 3, 6)","(13, 2, 4, 4, 14, 3, 4, 11, 14, 4, 7)"
1,3,"(1, 13, 14, 4, 3, 2, 7, 6, 11, 10, 5, 12, 0, 8)","(2, 8, 11, 4, 7, 3, 8, 7, 8, 1, 8, 16, 11, 9)"
1,4,"(6, 2, 0, 4, 9, 8, 1, 11, 5, 10, 12, 13, 7, 14, 3)","(11, 14, 18, 17, 12, 5, 7, 2, 6, 18, 12, 2, 15, 10, 1)"
1,5,"(14, 1, 8, 5, 13, 11, 7)","(9, 20, 16, 8, 15, 5, 1)"
1,6,"(4, 2, 14, 12, 11)","(4, 6, 6, 8, 10)"
2,0,"(13, 3, 6, 1, 5)","(18, 11, 11, 2, 17)"
2,1,"(2, 12, 7, 9, 0, 11, 8, 1, 10)","(1, 6, 10, 11, 5, 11, 15, 10, 19)"
2,2,"(1, 6, 13, 10, 11, 8, 9, 14, 2, 5)","(9, 2, 3, 6, 7, 2, 20, 7, 2, 16)"
2,3,"(14, 10, 7, 0)","(15, 8, 13, 6)"
2,4,"(11, 7, 13, 0, 10, 2, 4, 1)","(18, 13, 15, 18, 2, 11, 6, 18)"
2,5,"(7, 11, 2, 13, 12, 9, 3, 6, 14, 5, 0, 10, 8, 4)","(2, 11, 10, 3, 2, 1, 19, 18, 3, 4, 19, 4, 12, 10)"
2,6,"(8, 4, 12, 5)","(4, 5, 16, 17)"
2,7,"(11, 3, 12, 0, 8, 13, 4, 5, 7, 1)","(9, 9, 14, 18, 20, 17, 6, 9, 5, 11)"
3,0,"(13, 2, 4, 10, 8, 1, 0, 12, 3, 11, 9)","(6, 5, 12, 2, 9, 19, 13, 11, 4, 9, 15)"
3,1,"(9, 4, 13, 8, 3, 2, 14, 5, 11, 1, 7, 12, 10, 6)","(7, 6, 10, 3, 15, 16, 14, 11, 8, 18, 19, 4, 11, 20)"
3,2,"(8, 4, 2, 12, 6, 9, 13, 10, 11, 1)","(14, 13, 6, 17, 15, 8, 12, 15, 4, 17)"
3,3,"(9, 11, 1, 2, 3, 13, 6, 12, 4)","(16, 5, 1, 3, 18, 2, 12, 17, 8)"
3,4,"(2, 14, 12, 13)","(16, 5, 15, 11)"
3,5,"(9, 11, 5, 6, 8, 13, 7)","(2, 19, 1, 3, 15, 17, 7)"
3,6,"(2, 12, 11, 0, 3, 6, 7)","(2, 9, 5, 10, 6, 12, 10)"
3,7,"(7, 8, 3, 5)","(6, 4, 18, 5)"
4,0,"(13, 12, 6, 8, 2, 3, 5, 11, 0, 9)","(7, 12, 17, 11, 4, 11, 9, 2, 17, 17)"
4,1,"(3, 8, 1, 0, 14, 11)","(4, 10, 17, 17, 19, 1)"
4,2,"(12, 1, 8, 0, 7, 5, 11, 2, 14, 3, 6, 10, 9)","(11, 11, 1, 13, 20, 9, 1, 13, 18, 15, 2, 7, 3)"
4,3,"(0, 7, 8, 2, 12, 1)","(9, 20, 17, 9, 11, 11)"
4,4,"(12,)","(16,)"
4,5,"(13, 11, 6, 10, 1, 8, 0, 12, 4)","(8, 4, 9, 11, 3, 17, 3, 14, 16)"
4,6,"(4, 5)","(19, 12)"
4,7,"(13, 3, 1, 12, 8, 10, 11, 7, 4, 6)","(8, 15, 12, 11, 10, 19, 5, 18, 9, 11)"
4,8,"(2, 11, 5, 12, 13, 4, 0)","(15, 4, 3, 1, 20, 13, 10)"
5,0,"(2, 14, 0, 10)","(4, 6, 3, 4)"
5,1,"(10, 9, 1, 8, 2, 11, 14, 7, 3, 4, 13, 0)","(20, 8, 16, 4, 20, 11, 9, 20, 9, 20, 7, 15)"
