machine,kind_changeover_matrix,kind_order
0,"((7, 6, 9),(7, 7, 6),(9, 7, 7))","(0, 1, 2)"
1,"((29, 11, 7),(10, 19, 7),(7, 6, 7))","(0, 1, 2)"
2,"((0, 0, 0),(0, 0, 0),(0, 0, 0))","(0, 1, 2)"
3,"((13, 8, 11),(7, 9, 10),(9, 9, 5))","(0, 1, 2)"
4,"((12, 6, 11),(7, 11, 7),(11, 7, 19))","(0, 1, 2)"
5,"((2, 0, 0),(0, 0, 0),(0, 0, 4))","(0, 1, 2)"
6,"((22, 6, 4),(6, 16, 10),(5, 9, 12))","(0, 1, 2)"
7,"((39, 5, 4),(5, 4, 4),(4, 4, 4))","(0, 1, 2)"
8,"((10, 8, 33),(9, 10, 39),(33, 39, 39))","(0, 1, 2)"
9,"((27, 3, 3),(4, 4, 3),(3, 3, 3))","(0, 1, 2)"
10,"((39, 9, 5),(9, 7, 5),(5, 5, 4))","(0, 1, 2)"
11,"((8, 7, 4),(7, 9, 4),(5, 4, 5))","(0, 1, 2)"
12,"((8, 6, 4),(6, 7, 5),(6, 5, 5))","(0, 1, 2)"
13,"((14, 5, 8),(6, 10, 8),(8, 8, 12))","(0, 1, 2)"
14,"((6, 4, 3),(5, 6, 4),(3, 4, 4))","(0, 1, 2)"
15,"((7, 5, 9),(6, 7, 9),(9, 10, 10))","(0, 1, 2)"
16,"((16, 11, 10),(13, 39, 22),(12, 20, 39))","(0, 1, 2)"
17,"((15, 9, 10),(9, 13, 10),(9, 10, 10))","(0, 1, 2)"
18,"((13, 7, 7),(9, 8, 7),(7, 7, 8))","(0, 1, 2)"
19,"((28, 7, 22),(8, 22, 12),(17, 10, 6))","(0, 1, 2)"
