kind,task,machines,times
0,0,"(0, 5, 6, 4)","(73, 74, 135, 158)"
0,1,"(10, 9, 8, 11)","(109, 109, 110, 110)"
0,2,"(13, 8, 5, 1)","(37, 38, 40, 48)"
0,3,"(18, 9, 3, 8)","(19, 20, 40, 46)"
0,4,"(0, 4)","(91, 156)"
0,5,"(8, 7, 11)","(86, 86, 86)"
0,6,"(4, 11, 2, 7)","(90, 91, 92, 125)"
0,7,"(3, 14, 0, 5)","(159, 159, 159, 161)"
1,0,"(18, 9, 3, 8)","(12, 18, 38, 54)"
1,1,"(0, 5, 6, 4)","(75, 104, 137, 164)"
1,2,"(4, 15, 14)","(115, 115, 115)"
1,3,"(16, 13, 1)","(31, 35, 46)"
1,4,"(0, 5, 6, 4)","(75, 106, 122, 169)"
1,5,"(4, 12, 1, 8)","(82, 82, 82, 83)"
1,6,"(17, 2, 15)","(57, 58, 102)"
1,7,"(4, 1, 19)","(156, 157, 160)"
2,0,"(7, 17, 10, 12)","(9, 25, 30, 59)"
2,1,"(2, 11, 5, 8)","(8, 15, 20, 34)"
2,2,"(17, 11, 3, 4)","(3, 11, 11, 89)"
2,3,"(3, 10, 13, 12)","(2, 8, 10, 74)"
2,4,"(16, 18, 11)","(2, 9, 20)"
