seq,compact_machine_id,compact_machine_label,type,op,start,end,duration
1,1,M1,3,0,0.0,87.0,87.0
2,1,M1,1,0,87.0,301.0,214.0
3,1,M1,4,0,301.0,429.0,128.0
4,1,M1,1,0,429.0,643.0,214.0
5,1,M1,2,0,643.0,730.0,87.0
6,1,M1,2,0,730.0,817.0,87.0
7,1,M1,0,0,817.0,1064.0,247.0
8,1,M1,0,0,1064.0,1311.0,247.0
9,1,M1,4,0,1311.0,1439.0,128.0
10,1,M1,4,0,1439.0,1567.0,128.0
11,1,M1,3,0,1567.0,1654.0,87.0
12,1,M1,1,0,1654.0,1868.0,214.0
13,1,M1,1,0,1868.0,2082.0,214.0
14,1,M1,2,0,2082.0,2169.0,87.0
15,1,M1,2,0,2169.0,2256.0,87.0
16,1,M1,2,0,2256.0,2343.0,87.0
17,1,M1,2,0,2343.0,2430.0,87.0
18,1,M1,4,0,2430.0,2558.0,128.0
19,1,M1,4,0,2558.0,2686.0,128.0
20,1,M1,3,0,2686.0,2773.0,87.0
21,1,M1,1,0,2773.0,2987.0,214.0
22,1,M1,3,0,2987.0,3074.0,87.0
23,1,M1,0,0,3074.0,3321.0,247.0
24,1,M1,3,0,3321.0,3408.0,87.0
25,1,M1,0,0,3408.0,3655.0,247.0
26,1,M1,0,0,3655.0,3902.0,247.0
27,1,M1,1,0,3902.0,4116.0,214.0
28,1,M1,1,0,4116.0,4330.0,214.0
29,1,M1,4,0,4330.0,4458.0,128.0
30,1,M1,0,0,4458.0,4705.0,247.0
31,1,M1,0,0,4705.0,4952.0,247.0
32,1,M1,2,0,4952.0,5039.0,87.0
33,1,M1,2,0,5039.0,5126.0,87.0
34,1,M1,4,0,5126.0,5254.0,128.0
35,1,M1,4,0,5254.0,5382.0,128.0
36,1,M1,1,0,5382.0,5596.0,214.0
37,1,M1,1,0,5596.0,5810.0,214.0
38,1,M1,3,0,5810.0,5897.0,87.0
39,1,M1,0,0,5897.0,6144.0,247.0
40,1,M1,2,0,6144.0,6231.0,87.0
41,1,M1,2,0,6231.0,6318.0,87.0
42,1,M1,2,0,6318.0,6405.0,87.0
43,1,M1,0,0,6405.0,6652.0,247.0
44,1,M1,1,0,6652.0,6866.0,214.0
45,1,M1,4,0,6866.0,6994.0,128.0
46,1,M1,1,0,6994.0,7208.0,214.0
47,1,M1,3,0,7208.0,7295.0,87.0
48,1,M1,3,0,7295.0,7382.0,87.0
49,1,M1,1,0,7382.0,7596.0,214.0
50,1,M1,4,0,7596.0,7724.0,128.0
51,1,M1,4,0,7724.0,7852.0,128.0
52,1,M1,4,0,7852.0,7980.0,128.0
53,1,M1,4,0,7980.0,8108.0,128.0
54,1,M1,2,0,8108.0,8195.0,87.0
55,1,M1,2,0,8195.0,8282.0,87.0
56,1,M1,0,0,8282.0,8529.0,247.0
57,1,M1,0,0,8529.0,8776.0,247.0
58,1,M1,0,0,8776.0,9023.0,247.0
59,1,M1,3,0,9023.0,9110.0,87.0
60,1,M1,1,0,9110.0,9324.0,214.0
61,1,M1,1,0,9324.0,9538.0,214.0
62,1,M1,1,0,9538.0,9752.0,214.0
63,1,M1,2,0,9752.0,9839.0,87.0
64,1,M1,2,0,9839.0,9926.0,87.0
65,1,M1,1,0,9926.0,10140.0,214.0
66,1,M1,3,0,10140.0,10227.0,87.0
67,1,M1,1,0,10227.0,10441.0,214.0
68,1,M1,0,0,10441.0,10688.0,247.0
69,1,M1,0,0,10688.0,10935.0,247.0
70,1,M1,4,0,10935.0,11063.0,128.0
71,1,M1,2,0,11063.0,11150.0,87.0
72,1,M1,4,0,11150.0,11278.0,128.0
73,1,M1,0,0,11278.0,11525.0,247.0
74,1,M1,3,0,11525.0,11612.0,87.0
75,1,M1,2,0,11612.0,11699.0,87.0
76,1,M1,2,0,11699.0,11786.0,87.0
77,1,M1,4,0,11786.0,11914.0,128.0
78,1,M1,3,0,11914.0,12001.0,87.0
79,1,M1,0,0,12001.0,12248.0,247.0
80,1,M1,0,0,12248.0,12495.0,247.0
81,1,M1,1,0,12495.0,12709.0,214.0
82,1,M1,4,0,12709.0,12837.0,128.0
83,1,M1,4,0,12837.0,12965.0,128.0
84,1,M1,1,0,12965.0,13179.0,214.0
85,1,M1,2,0,13179.0,13266.0,87.0
86,1,M1,0,0,13266.0,13513.0,247.0
87,1,M1,0,0,13513.0,13760.0,247.0
88,1,M1,2,0,13760.0,13847.0,87.0
89,1,M1,1,0,13847.0,14061.0,214.0
90,1,M1,1,0,14061.0,14275.0,214.0
91,1,M1,4,0,14275.0,14403.0,128.0
92,1,M1,3,0,14403.0,14490.0,87.0
93,1,M1,0,0,14490.0,14737.0,247.0
94,1,M1,0,0,14737.0,14984.0,247.0
95,1,M1,2,0,14984.0,15071.0,87.0
96,1,M1,2,0,15071.0,15158.0,87.0
97,1,M1,2,0,15158.0,15245.0,87.0
98,1,M1,1,0,15245.0,15459.0,214.0
99,1,M1,1,0,15459.0,15673.0,214.0
100,1,M1,4,0,15673.0,15801.0,128.0
101,1,M1,4,0,15801.0,15929.0,128.0
102,1,M1,4,0,15929.0,16057.0,128.0
103,1,M1,1,0,16057.0,16271.0,214.0
104,1,M1,0,0,16271.0,16518.0,247.0
105,1,M1,2,0,16518.0,16605.0,87.0
106,1,M1,4,0,16605.0,16733.0,128.0
107,1,M1,4,0,16733.0,16861.0,128.0
108,1,M1,3,0,16861.0,16948.0,87.0
109,1,M1,2,0,16948.0,17035.0,87.0
110,1,M1,0,0,17035.0,17282.0,247.0
111,1,M1,0,0,17282.0,17529.0,247.0
112,1,M1,1,0,17529.0,17743.0,214.0
113,1,M1,1,0,17743.0,17957.0,214.0
114,1,M1,1,0,17957.0,18171.0,214.0
115,1,M1,2,0,18171.0,18258.0,87.0
116,1,M1,2,0,18258.0,18345.0,87.0
117,1,M1,0,0,18345.0,18592.0,247.0
118,1,M1,0,0,18592.0,18839.0,247.0
119,1,M1,0,0,18839.0,19086.0,247.0
120,2,M2,8,0,0.0,150.0,150.0
121,2,M2,8,0,150.0,300.0,150.0
122,2,M2,5,0,300.0,445.0,145.0
123,2,M2,1,1,445.0,511.0,66.0
124,2,M2,4,2,511.0,611.0,100.0
125,2,M2,8,0,611.0,761.0,150.0
126,2,M2,0,1,761.0,891.0,130.0
127,2,M2,1,1,891.0,957.0,66.0
128,2,M2,6,0,957.0,1114.0,157.0
129,2,M2,0,1,1114.0,1244.0,130.0
130,2,M2,0,1,1244.0,1374.0,130.0
131,2,M2,0,1,1374.0,1504.0,130.0
132,2,M2,5,0,1504.0,1649.0,145.0
133,2,M2,4,2,1649.0,1749.0,100.0
134,2,M2,8,0,1749.0,1899.0,150.0
135,2,M2,1,1,1899.0,1965.0,66.0
136,2,M2,0,1,1965.0,2095.0,130.0
137,2,M2,8,0,2095.0,2245.0,150.0
138,2,M2,4,2,2245.0,2345.0,100.0
139,2,M2,1,1,2345.0,2411.0,66.0
140,2,M2,8,0,2411.0,2561.0,150.0
141,2,M2,8,0,2561.0,2711.0,150.0
142,2,M2,5,0,2711.0,2856.0,145.0
143,2,M2,5,0,2856.0,3001.0,145.0
144,2,M2,1,1,3001.0,3067.0,66.0
145,2,M2,4,2,3067.0,3167.0,100.0
146,2,M2,6,0,3167.0,3324.0,157.0
147,2,M2,6,0,3324.0,3481.0,157.0
148,2,M2,8,0,3481.0,3631.0,150.0
149,2,M2,8,0,3631.0,3781.0,150.0
