seq,compact_machine_id,compact_machine_label,type,op,start,end,duration
1,1,M1,2,0,0.0,87.0,87.0
2,1,M1,0,0,87.0,334.0,247.0
3,1,M1,1,0,334.0,548.0,214.0
4,1,M1,4,0,548.0,676.0,128.0
5,1,M1,3,0,676.0,763.0,87.0
6,1,M1,0,0,763.0,1010.0,247.0
7,1,M1,2,0,1010.0,1097.0,87.0
8,1,M1,1,0,1097.0,1311.0,214.0
9,1,M1,4,0,1311.0,1439.0,128.0
10,1,M1,2,0,1439.0,1526.0,87.0
11,1,M1,1,0,1526.0,1740.0,214.0
12,1,M1,3,0,1740.0,1827.0,87.0
13,1,M1,4,0,1827.0,1955.0,128.0
14,1,M1,2,0,1955.0,2042.0,87.0
15,1,M1,1,0,2042.0,2256.0,214.0
16,1,M1,0,0,2256.0,2503.0,247.0
17,1,M1,4,0,2503.0,2631.0,128.0
18,1,M1,0,0,2631.0,2878.0,247.0
19,1,M1,2,0,2878.0,2965.0,87.0
20,1,M1,1,0,2965.0,3179.0,214.0
21,1,M1,3,0,3179.0,3266.0,87.0
22,1,M1,0,0,3266.0,3513.0,247.0
23,1,M1,4,0,3513.0,3641.0,128.0
24,1,M1,0,0,3641.0,3888.0,247.0
25,1,M1,2,0,3888.0,3975.0,87.0
26,1,M1,1,0,3975.0,4189.0,214.0
27,1,M1,4,0,4189.0,4317.0,128.0
28,1,M1,2,0,4317.0,4404.0,87.0
29,1,M1,1,0,4404.0,4618.0,214.0
30,1,M1,3,0,4618.0,4705.0,87.0
31,1,M1,0,0,4705.0,4952.0,247.0
32,1,M1,0,0,4952.0,5199.0,247.0
33,1,M1,4,0,5199.0,5327.0,128.0
34,1,M1,2,0,5327.0,5414.0,87.0
35,1,M1,1,0,5414.0,5628.0,214.0
36,1,M1,0,0,5628.0,5875.0,247.0
37,1,M1,4,0,5875.0,6003.0,128.0
38,1,M1,3,0,6003.0,6090.0,87.0
39,1,M1,2,0,6090.0,6177.0,87.0
40,1,M1,1,0,6177.0,6391.0,214.0
41,1,M1,2,0,6391.0,6478.0,87.0
42,1,M1,1,0,6478.0,6692.0,214.0
43,1,M1,4,0,6692.0,6820.0,128.0
44,1,M1,3,0,6820.0,6907.0,87.0
45,1,M1,2,0,6907.0,6994.0,87.0
46,1,M1,0,0,6994.0,7241.0,247.0
47,1,M1,1,0,7241.0,7455.0,214.0
48,1,M1,4,0,7455.0,7583.0,128.0
49,1,M1,0,0,7583.0,7830.0,247.0
50,1,M1,2,0,7830.0,7917.0,87.0
51,1,M1,1,0,7917.0,8131.0,214.0
52,1,M1,0,0,8131.0,8378.0,247.0
53,1,M1,4,0,8378.0,8506.0,128.0
54,1,M1,0,0,8506.0,8753.0,247.0
55,1,M1,3,0,8753.0,8840.0,87.0
56,1,M1,2,0,8840.0,8927.0,87.0
57,1,M1,1,0,8927.0,9141.0,214.0
58,1,M1,4,0,9141.0,9269.0,128.0
59,1,M1,0,0,9269.0,9516.0,247.0
60,1,M1,2,0,9516.0,9603.0,87.0
61,1,M1,1,0,9603.0,9817.0,214.0
62,1,M1,0,0,9817.0,10064.0,247.0
63,1,M1,4,0,10064.0,10192.0,128.0
64,1,M1,3,0,10192.0,10279.0,87.0
65,1,M1,2,0,10279.0,10366.0,87.0
66,1,M1,1,0,10366.0,10580.0,214.0
67,1,M1,4,0,10580.0,10708.0,128.0
68,1,M1,0,0,10708.0,10955.0,247.0
69,1,M1,2,0,10955.0,11042.0,87.0
70,1,M1,1,0,11042.0,11256.0,214.0
71,1,M1,3,0,11256.0,11343.0,87.0
72,1,M1,4,0,11343.0,11471.0,128.0
73,1,M1,2,0,11471.0,11558.0,87.0
74,1,M1,1,0,11558.0,11772.0,214.0
75,1,M1,0,0,11772.0,12019.0,247.0
76,1,M1,0,0,12019.0,12266.0,247.0
77,1,M1,4,0,12266.0,12394.0,128.0
78,1,M1,2,0,12394.0,12481.0,87.0
79,1,M1,1,0,12481.0,12695.0,214.0
80,1,M1,3,0,12695.0,12782.0,87.0
