variant_name,instance_id,points,best_epoch,best_occurrence,cb_all,ca_all,cb_last_k,ca_last_k,avg_cycle_time_sec,best_schedule_csv,best_gantt_png,curve_png
ablation_no_zero_mask,P1,100,721,31,6336.0,6647.91,6450.0,6505.2,17.318169054985045,result\ablation_suite\ablation_no_zero_mask\per_instance\P1\best_schedule_detail.csv,result\ablation_suite\ablation_no_zero_mask\per_instance\P1\best_gantt.png,result\ablation_suite\ablation_no_zero_mask\per_instance\P1\curve.png
ablation_no_zero_mask,P2,100,1778,75,8280.0,8815.96,8694.0,8725.0,22.24901032447815,result\ablation_suite\ablation_no_zero_mask\per_instance\P2\best_schedule_detail.csv,result\ablation_suite\ablation_no_zero_mask\per_instance\P2\best_gantt.png,result\ablation_suite\ablation_no_zero_mask\per_instance\P2\curve.png
ablation_no_zero_mask,P3,100,3,1,6055.0,6684.27,6320.0,6399.6,15.998189866542816,result\ablation_suite\ablation_no_zero_mask\per_instance\P3\best_schedule_detail.csv,result\ablation_suite\ablation_no_zero_mask\per_instance\P3\best_gantt.png,result\ablation_suite\ablation_no_zero_mask\per_instance\P3\curve.png
ablation_no_zero_mask,P4,100,1852,78,3662.0,3845.51,3702.0,3727.6,12.533692510128022,result\ablation_suite\ablation_no_zero_mask\per_instance\P4\best_schedule_detail.csv,result\ablation_suite\ablation_no_zero_mask\per_instance\P4\best_gantt.png,result\ablation_suite\ablation_no_zero_mask\per_instance\P4\curve.png
ablation_no_zero_mask,P5,100,2045,86,4168.0,4411.75,4174.0,4208.4,13.751430773735047,result\ablation_suite\ablation_no_zero_mask\per_instance\P5\best_schedule_detail.csv,result\ablation_suite\ablation_no_zero_mask\per_instance\P5\best_gantt.png,result\ablation_suite\ablation_no_zero_mask\per_instance\P5\curve.png
ablation_no_zero_mask,P6,100,1830,77,4000.0,4277.08,4102.0,4150.4,14.254090027809143,result\ablation_suite\ablation_no_zero_mask\per_instance\P6\best_schedule_detail.csv,result\ablation_suite\ablation_no_zero_mask\per_instance\P6\best_gantt.png,result\ablation_suite\ablation_no_zero_mask\per_instance\P6\curve.png
ablation_no_zero_mask,P7,100,1783,75,5805.0,6106.31,5900.0,5947.0,20.90418697834015,result\ablation_suite\ablation_no_zero_mask\per_instance\P7\best_schedule_detail.csv,result\ablation_suite\ablation_no_zero_mask\per_instance\P7\best_gantt.png,result\ablation_suite\ablation_no_zero_mask\per_instance\P7\curve.png
ablation_no_zero_mask,P8,100,2000,84,5650.0,5975.47,5700.0,5729.0,18.43568568944931,result\ablation_suite\ablation_no_zero_mask\per_instance\P8\best_schedule_detail.csv,result\ablation_suite\ablation_no_zero_mask\per_instance\P8\best_gantt.png,result\ablation_suite\ablation_no_zero_mask\per_instance\P8\curve.png
ablation_no_zero_mask,P9,100,1953,82,5390.0,5697.33,5480.0,5481.0,17.506615982055663,result\ablation_suite\ablation_no_zero_mask\per_instance\P9\best_schedule_detail.csv,result\ablation_suite\ablation_no_zero_mask\per_instance\P9\best_gantt.png,result\ablation_suite\ablation_no_zero_mask\per_instance\P9\curve.png
ablation_no_zero_mask,P10,100,1834,77,5528.0,5857.76,5633.0,5649.8,10.863786518573761,result\ablation_suite\ablation_no_zero_mask\per_instance\P10\best_schedule_detail.csv,result\ablation_suite\ablation_no_zero_mask\per_instance\P10\best_gantt.png,result\ablation_suite\ablation_no_zero_mask\per_instance\P10\curve.png
ablation_no_zero_mask,P11,100,659,28,11434.0,11770.84,11434.0,11434.0,21.021664209365845,result\ablation_suite\ablation_no_zero_mask\per_instance\P11\best_schedule_detail.csv,result\ablation_suite\ablation_no_zero_mask\per_instance\P11\best_gantt.png,result\ablation_suite\ablation_no_zero_mask\per_instance\P11\curve.png
ablation_no_zero_mask,P12,100,1836,77,11675.0,12402.63,11824.0,11895.2,25.02932435512543,result\ablation_suite\ablation_no_zero_mask\per_instance\P12\best_schedule_detail.csv,result\ablation_suite\ablation_no_zero_mask\per_instance\P12\best_gantt.png,result\ablation_suite\ablation_no_zero_mask\per_instance\P12\curve.png
ablation_no_zero_mask,P13,100,1861,78,19524.0,20962.77,20024.0,20111.6,63.69383178472519,result\ablation_suite\ablation_no_zero_mask\per_instance\P13\best_schedule_detail.csv,result\ablation_suite\ablation_no_zero_mask\per_instance\P13\best_gantt.png,result\ablation_suite\ablation_no_zero_mask\per_instance\P13\curve.png
ablation_no_zero_mask,P14,100,710,30,21784.0,23123.18,22299.0,22448.4,64.23535423994065,result\ablation_suite\ablation_no_zero_mask\per_instance\P14\best_schedule_detail.csv,result\ablation_suite\ablation_no_zero_mask\per_instance\P14\best_gantt.png,result\ablation_suite\ablation_no_zero_mask\per_instance\P14\curve.png
ablation_no_zero_mask,P15,100,783,33,20073.0,21165.03,20456.0,20494.2,66.00604709625244,result\ablation_suite\ablation_no_zero_mask\per_instance\P15\best_schedule_detail.csv,result\ablation_suite\ablation_no_zero_mask\per_instance\P15\best_gantt.png,result\ablation_suite\ablation_no_zero_mask\per_instance\P15\curve.png
