seq,compact_machine_id,compact_machine_label,type,op,start,end,duration
1,1,M1,0,0,0.0,147.0,147.0
2,1,M1,0,0,147.0,294.0,147.0
3,1,M1,0,0,294.0,441.0,147.0
4,1,M1,1,0,441.0,655.0,214.0
5,1,M1,0,0,655.0,802.0,147.0
6,1,M1,0,0,802.0,949.0,147.0
7,1,M1,1,0,949.0,1163.0,214.0
8,1,M1,0,0,1163.0,1310.0,147.0
9,1,M1,0,0,1310.0,1457.0,147.0
10,1,M1,1,0,1457.0,1671.0,214.0
11,1,M1,0,0,1671.0,1818.0,147.0
12,1,M1,3,0,1818.0,1905.0,87.0
13,1,M1,1,0,1905.0,2119.0,214.0
14,1,M1,0,0,2119.0,2266.0,147.0
15,1,M1,0,0,2266.0,2413.0,147.0
16,1,M1,1,0,2413.0,2627.0,214.0
17,1,M1,1,0,2627.0,2841.0,214.0
18,1,M1,0,0,2841.0,2988.0,147.0
19,1,M1,1,0,2988.0,3202.0,214.0
20,1,M1,0,0,3202.0,3349.0,147.0
21,1,M1,1,0,3349.0,3563.0,214.0
22,1,M1,2,0,3563.0,3650.0,87.0
23,1,M1,0,0,3650.0,3797.0,147.0
24,1,M1,1,0,3797.0,4011.0,214.0
25,1,M1,1,0,4011.0,4225.0,214.0
26,1,M1,0,0,4225.0,4372.0,147.0
27,1,M1,1,0,4372.0,4586.0,214.0
28,1,M1,0,0,4586.0,4733.0,147.0
29,1,M1,1,0,4733.0,4947.0,214.0
30,1,M1,1,0,4947.0,5161.0,214.0
31,1,M1,0,0,5161.0,5308.0,147.0
32,1,M1,1,0,5308.0,5522.0,214.0
33,1,M1,0,0,5522.0,5669.0,147.0
34,1,M1,1,0,5669.0,5883.0,214.0
35,1,M1,1,0,5883.0,6097.0,214.0
36,1,M1,0,0,6097.0,6244.0,147.0
37,1,M1,0,0,6244.0,6391.0,147.0
38,1,M1,0,0,6391.0,6538.0,147.0
39,1,M1,1,0,6538.0,6752.0,214.0
40,1,M1,0,0,6752.0,6899.0,147.0
41,1,M1,0,0,6899.0,7046.0,147.0
42,1,M1,1,0,7046.0,7260.0,214.0
43,1,M1,0,0,7260.0,7407.0,147.0
44,1,M1,0,0,7407.0,7554.0,147.0
45,1,M1,0,0,7554.0,7701.0,147.0
46,1,M1,0,0,7701.0,7848.0,147.0
47,1,M1,0,0,7848.0,7995.0,147.0
48,1,M1,0,0,7995.0,8142.0,147.0
