instance_id,M,R,N,mean,std,avg_cycle_time_sec
M10R5N5,10,5,5,186.2,4.354308211415448,7.613329672813416
M10R5N10,10,5,10,362.3,10.93663568013491,18.204142498970032
M10R5N15,10,5,15,491.0,9.705668446840743,26.601448464393616
M10R10N5,10,10,5,245.5,9.436630754670864,20.47251763343811
M10R10N10,10,10,10,437.8,5.99666574022598,38.58226542472839
M10R10N15,10,10,15,699.0,11.045361017187261,58.05186712741852
M10R15N5,10,15,5,368.2,5.635601121442148,31.00704929828644
M10R15N10,10,15,10,623.9,15.655350523063992,68.9371839761734
M10R15N15,10,15,15,985.8,13.113351974228404,105.36392652988434
M15R5N5,15,5,5,160.0,7.3484692283495345,10.203873372077942
M15R5N10,15,5,10,214.2,8.565045242145542,17.89849212169647
M15R5N15,15,5,15,277.8,20.143485299222675,26.272412872314455
M15R10N5,15,10,5,150.5,4.716990566028302,20.170149827003478
M15R10N10,15,10,10,249.6,4.565084884205331,47.20912919044495
M15R10N15,15,10,15,265.9,7.217340230306452,65.51189155578614
M15R15N5,15,15,5,188.1,5.467174773134658,33.07921261787415
M15R15N10,15,15,10,402.2,9.10823802938856,63.631920266151425
M15R15N15,15,15,15,563.0,15.956190021430555,94.1154284954071
M20R5N5,20,5,5,71.8,3.4871191548325386,9.344396615028382
M20R5N10,20,5,10,193.0,0.0,19.107400274276735
M20R5N15,20,5,15,328.4,2.8000000000000003,28.779753804206848
M20R10N5,20,10,5,95.4,4.758150901348127,19.674967193603514
M20R10N10,20,10,10,243.1,10.681292056675542,36.96613404750824
M20R10N15,20,10,15,336.9,12.003749414245533,62.05389869213104
M20R15N5,20,15,5,156.0,4.857983120596447,30.747088384628295
M20R15N10,20,15,10,254.5,7.1449282711585,71.84942865371704
M20R15N15,20,15,15,340.8,5.723635208501674,105.77168209552765
