instance_id,M,R,N,tail_k,mean_last_k,std_last_k,Cb_last_k,Ca_last_k,avg_cycle_time_last_k_sec,history_csv
M10R5N5,10,5,5,10,186.2,4.354308211415448,181.0,186.2,7.613329672813416,result\dslfmae_table13_like\per_instance\M10R5N5\history.csv
M10R5N10,10,5,10,10,362.3,10.93663568013491,345.0,362.3,18.204142498970032,result\dslfmae_table13_like\per_instance\M10R5N10\history.csv
M10R5N15,10,5,15,10,491.0,9.705668446840743,477.0,491.0,26.601448464393616,result\dslfmae_table13_like\per_instance\M10R5N15\history.csv
M10R10N5,10,10,5,10,245.5,9.436630754670864,232.0,245.5,20.47251763343811,result\dslfmae_table13_like\per_instance\M10R10N5\history.csv
M10R10N10,10,10,10,10,437.8,5.99666574022598,429.0,437.8,38.58226542472839,result\dslfmae_table13_like\per_instance\M10R10N10\history.csv
M10R10N15,10,10,15,10,699.0,11.045361017187261,687.0,699.0,58.05186712741852,result\dslfmae_table13_like\per_instance\M10R10N15\history.csv
M10R15N5,10,15,5,10,368.2,5.635601121442148,358.0,368.2,31.00704929828644,result\dslfmae_table13_like\per_instance\M10R15N5\history.csv
M10R15N10,10,15,10,10,623.9,15.655350523063992,596.0,623.9,68.9371839761734,result\dslfmae_table13_like\per_instance\M10R15N10\history.csv
M10R15N15,10,15,15,10,985.8,13.113351974228404,965.0,985.8,105.36392652988434,result\dslfmae_table13_like\per_instance\M10R15N15\history.csv
M15R5N5,15,5,5,10,160.0,7.3484692283495345,153.0,160.0,10.203873372077942,result\dslfmae_table13_like\per_instance\M15R5N5\history.csv
M15R5N10,15,5,10,10,214.2,8.565045242145542,207.0,214.2,17.89849212169647,result\dslfmae_table13_like\per_instance\M15R5N10\history.csv
M15R5N15,15,5,15,10,277.8,20.143485299222675,255.0,277.8,26.272412872314455,result\dslfmae_table13_like\per_instance\M15R5N15\history.csv
M15R10N5,15,10,5,10,150.5,4.716990566028302,141.0,150.5,20.170149827003478,result\dslfmae_table13_like\per_instance\M15R10N5\history.csv
M15R10N10,15,10,10,10,249.6,4.565084884205331,243.0,249.6,47.20912919044495,result\dslfmae_table13_like\per_instance\M15R10N10\history.csv
M15R10N15,15,10,15,10,265.9,7.217340230306452,256.0,265.9,65.51189155578614,result\dslfmae_table13_like\per_instance\M15R10N15\history.csv
M15R15N5,15,15,5,10,188.1,5.467174773134658,176.0,188.1,33.07921261787415,result\dslfmae_table13_like\per_instance\M15R15N5\history.csv
M15R15N10,15,15,10,10,402.2,9.10823802938856,390.0,402.2,63.631920266151425,result\dslfmae_table13_like\per_instance\M15R15N10\history.csv
M15R15N15,15,15,15,10,563.0,15.956190021430555,535.0,563.0,94.1154284954071,result\dslfmae_table13_like\per_instance\M15R15N15\history.csv
M20R5N5,20,5,5,10,71.8,3.4871191548325386,66.0,71.8,9.344396615028382,result\dslfmae_table13_like\per_instance\M20R5N5\history.csv
M20R5N10,20,5,10,10,193.0,0.0,193.0,193.0,19.107400274276735,result\dslfmae_table13_like\per_instance\M20R5N10\history.csv
M20R5N15,20,5,15,10,328.4,2.8000000000000003,327.0,328.4,28.779753804206848,result\dslfmae_table13_like\per_instance\M20R5N15\history.csv
M20R10N5,20,10,5,10,95.4,4.758150901348127,87.0,95.4,19.674967193603514,result\dslfmae_table13_like\per_instance\M20R10N5\history.csv
M20R10N10,20,10,10,10,243.1,10.681292056675542,229.0,243.1,36.96613404750824,result\dslfmae_table13_like\per_instance\M20R10N10\history.csv
M20R10N15,20,10,15,10,336.9,12.003749414245533,324.0,336.9,62.05389869213104,result\dslfmae_table13_like\per_instance\M20R10N15\history.csv
M20R15N5,20,15,5,10,156.0,4.857983120596447,148.0,156.0,30.747088384628295,result\dslfmae_table13_like\per_instance\M20R15N5\history.csv
M20R15N10,20,15,10,10,254.5,7.1449282711585,242.0,254.5,71.84942865371704,result\dslfmae_table13_like\per_instance\M20R15N10\history.csv
M20R15N15,20,15,15,10,340.8,5.723635208501674,331.0,340.8,105.77168209552765,result\dslfmae_table13_like\per_instance\M20R15N15\history.csv
