seq,compact_machine_id,compact_machine_label,type,op,start,end,duration
1,1,M1,1,1,1.0,2.0,1.0
2,1,M1,1,1,2.0,3.0,1.0
3,1,M1,1,1,3.0,4.0,1.0
4,1,M1,4,2,4.0,6.0,2.0
5,1,M1,4,2,6.0,8.0,2.0
6,1,M1,4,3,8.0,9.0,1.0
7,1,M1,4,3,9.0,10.0,1.0
8,1,M1,1,1,10.0,11.0,1.0
9,1,M1,1,1,11.0,12.0,1.0
10,1,M1,4,2,14.0,16.0,2.0
11,1,M1,4,3,16.0,17.0,1.0
12,1,M1,4,2,19.0,21.0,2.0
13,1,M1,4,2,21.0,23.0,2.0
14,1,M1,4,3,23.0,24.0,1.0
15,1,M1,4,3,24.0,25.0,1.0
16,1,M1,1,5,25.0,35.0,10.0
17,2,M2,0,6,11.0,20.0,9.0
18,2,M2,0,7,20.0,27.0,7.0
19,2,M2,0,6,33.0,42.0,9.0
20,2,M2,0,7,42.0,49.0,7.0
21,3,M3,4,0,0.0,1.0,1.0
22,3,M3,4,0,1.0,2.0,1.0
23,3,M3,2,2,2.0,4.0,2.0
24,3,M3,2,2,4.0,6.0,2.0
25,3,M3,2,2,6.0,8.0,2.0
26,3,M3,4,0,8.0,9.0,1.0
27,3,M3,4,0,9.0,10.0,1.0
28,3,M3,2,2,10.0,12.0,2.0
29,3,M3,4,0,12.0,13.0,1.0
30,3,M3,2,2,13.0,15.0,2.0
31,3,M3,0,7,26.0,40.0,14.0
32,4,M4,1,3,3.0,4.0,1.0
33,4,M4,0,2,4.0,5.0,1.0
34,4,M4,0,3,5.0,6.0,1.0
35,4,M4,0,4,6.0,8.0,2.0
36,4,M4,0,2,8.0,9.0,1.0
37,4,M4,1,3,9.0,10.0,1.0
38,4,M4,0,2,10.0,11.0,1.0
39,4,M4,0,3,11.0,12.0,1.0
40,4,M4,0,4,12.0,14.0,2.0
41,4,M4,1,3,14.0,15.0,1.0
42,4,M4,0,3,15.0,16.0,1.0
43,4,M4,0,4,16.0,18.0,2.0
44,4,M4,0,2,18.0,19.0,1.0
45,4,M4,1,3,19.0,20.0,1.0
46,4,M4,0,3,20.0,21.0,1.0
47,4,M4,0,4,21.0,23.0,2.0
48,4,M4,1,3,23.0,24.0,1.0
49,4,M4,0,2,26.0,27.0,1.0
50,4,M4,0,3,27.0,28.0,1.0
51,4,M4,0,4,28.0,30.0,2.0
52,5,M5,2,1,1.0,2.0,1.0
53,5,M5,2,1,2.0,3.0,1.0
54,5,M5,2,1,3.0,4.0,1.0
55,5,M5,2,1,4.0,5.0,1.0
56,5,M5,2,1,5.0,6.0,1.0
57,5,M5,0,6,21.0,39.0,18.0
58,6,M6,3,2,4.0,6.0,2.0
59,6,M6,2,3,6.0,9.0,3.0
60,6,M6,2,3,9.0,12.0,3.0
61,6,M6,2,3,12.0,15.0,3.0
62,6,M6,2,3,15.0,18.0,3.0
63,6,M6,3,5,18.0,22.0,4.0
64,6,M6,2,3,22.0,25.0,3.0
65,7,M7,0,0,0.0,1.0,1.0
66,7,M7,0,0,1.0,2.0,1.0
67,7,M7,3,1,2.0,4.0,2.0
68,7,M7,3,1,4.0,6.0,2.0
69,7,M7,0,0,6.0,7.0,1.0
70,7,M7,3,1,7.0,9.0,2.0
71,7,M7,0,0,9.0,10.0,1.0
72,7,M7,3,1,10.0,12.0,2.0
73,7,M7,3,5,12.0,16.0,4.0
74,7,M7,3,5,16.0,20.0,4.0
75,7,M7,0,0,20.0,21.0,1.0
76,7,M7,3,1,21.0,23.0,2.0
77,7,M7,3,5,23.0,27.0,4.0
78,7,M7,3,5,39.0,43.0,4.0
79,8,M8,3,0,0.0,2.0,2.0
80,8,M8,3,0,2.0,4.0,2.0
81,8,M8,3,0,4.0,6.0,2.0
82,8,M8,3,0,6.0,8.0,2.0
83,8,M8,1,5,8.0,12.0,4.0
84,8,M8,1,5,17.0,21.0,4.0
85,8,M8,1,5,22.0,26.0,4.0
86,8,M8,1,5,32.0,36.0,4.0
87,9,M9,2,0,0.0,1.0,1.0
88,9,M9,2,0,1.0,2.0,1.0
89,9,M9,2,0,2.0,3.0,1.0
90,9,M9,2,0,3.0,4.0,1.0
91,9,M9,2,0,4.0,5.0,1.0
92,9,M9,4,5,12.0,14.0,2.0
93,9,M9,4,5,14.0,16.0,2.0
94,9,M9,4,5,19.0,21.0,2.0
95,9,M9,4,5,27.0,29.0,2.0
96,9,M9,4,5,29.0,31.0,2.0
97,10,M10,4,1,2.0,5.0,3.0
98,10,M10,3,2,6.0,8.0,2.0
99,10,M10,3,2,9.0,11.0,2.0
100,10,M10,4,1,11.0,14.0,3.0
101,10,M10,3,2,14.0,16.0,2.0
102,10,M10,4,1,16.0,19.0,3.0
103,10,M10,3,2,23.0,25.0,2.0
104,10,M10,0,7,36.0,49.0,13.0
105,11,M11,3,0,0.0,3.0,3.0
106,11,M11,0,1,3.0,8.0,5.0
