seq,compact_machine_id,compact_machine_label,type,op,start,end,duration,original_machine_id,original_machine_label,original_type,changeover_time_feature
1,1,M1,1,1,12.0,87.0,75.0,1,M1,1,0.0
2,1,M1,1,1,87.0,162.0,75.0,1,M1,1,7.0
3,1,M1,1,1,162.0,237.0,75.0,1,M1,1,7.0
4,1,M1,1,1,237.0,312.0,75.0,1,M1,1,7.0
5,1,M1,1,4,312.0,387.0,75.0,1,M1,1,7.0
6,1,M1,1,1,387.0,462.0,75.0,1,M1,1,7.0
7,1,M1,1,4,462.0,537.0,75.0,1,M1,1,7.0
8,1,M1,0,4,537.0,628.0,91.0,1,M1,0,7.0
9,1,M1,1,4,650.0,725.0,75.0,1,M1,1,6.0
10,1,M1,0,4,725.0,816.0,91.0,1,M1,0,7.0
11,2,M2,1,7,554.0,711.0,157.0,2,M2,1,0.0
12,2,M2,1,7,739.0,896.0,157.0,2,M2,1,19.0
13,2,M2,1,7,924.0,1081.0,157.0,2,M2,1,19.0
14,3,M3,1,6,438.0,496.0,58.0,3,M3,1,0.0
15,3,M3,1,6,496.0,554.0,58.0,3,M3,1,0.0
16,3,M3,1,6,559.0,617.0,58.0,3,M3,1,0.0
17,3,M3,1,6,620.0,678.0,58.0,3,M3,1,0.0
18,3,M3,1,6,681.0,739.0,58.0,3,M3,1,0.0
19,3,M3,1,6,808.0,866.0,58.0,3,M3,1,0.0
20,3,M3,1,6,866.0,924.0,58.0,3,M3,1,0.0
21,3,M3,1,6,959.0,1017.0,58.0,3,M3,1,0.0
22,4,M4,0,7,579.0,738.0,159.0,4,M4,0,0.0
23,4,M4,0,7,896.0,1055.0,159.0,4,M4,0,13.0
24,5,M5,0,4,246.0,402.0,156.0,5,M5,0,0.0
25,5,M5,0,4,495.0,651.0,156.0,5,M5,0,12.0
26,5,M5,1,7,651.0,807.0,156.0,5,M5,1,6.0
27,5,M5,1,7,1017.0,1173.0,156.0,5,M5,1,11.0
28,6,M6,0,0,0.0,74.0,74.0,6,M6,0,0.0
29,6,M6,1,1,74.0,178.0,104.0,6,M6,1,0.0
30,6,M6,0,0,178.0,252.0,74.0,6,M6,0,0.0
31,6,M6,0,0,252.0,326.0,74.0,6,M6,0,2.0
32,6,M6,0,0,326.0,400.0,74.0,6,M6,0,2.0
33,6,M6,1,1,400.0,504.0,104.0,6,M6,1,0.0
34,6,M6,1,1,504.0,608.0,104.0,6,M6,1,0.0
35,7,M7,1,4,233.0,355.0,122.0,7,M7,1,0.0
36,7,M7,1,4,355.0,477.0,122.0,7,M7,1,16.0
