instance_id,points,best_epoch,best_occurrence,cb_all,ca_all,cb_last_k,ca_last_k,avg_cycle_time_sec,best_schedule_csv,best_gantt_png,curve_png
P1,100,625,27,5872.0,6177.0,5978.0,6025.2,25.049086349010466,result\round_robin_24cases\per_instance\P1\best_schedule_detail.csv,result\round_robin_24cases\per_instance\P1\best_gantt.png,result\round_robin_24cases\per_instance\P1\curve.png
P2,100,1994,84,8110.0,8561.36,8270.0,8280.4,31.839056680202486,result\round_robin_24cases\per_instance\P2\best_schedule_detail.csv,result\round_robin_24cases\per_instance\P2\best_gantt.png,result\round_robin_24cases\per_instance\P2\curve.png
P3,100,1827,77,5820.0,6384.44,5820.0,5986.6,22.900638642311097,result\round_robin_24cases\per_instance\P3\best_schedule_detail.csv,result\round_robin_24cases\per_instance\P3\best_gantt.png,result\round_robin_24cases\per_instance\P3\curve.png
P4,100,652,28,3655.0,3757.78,3691.0,3700.0,17.960877101421357,result\round_robin_24cases\per_instance\P4\best_schedule_detail.csv,result\round_robin_24cases\per_instance\P4\best_gantt.png,result\round_robin_24cases\per_instance\P4\curve.png
P5,100,221,10,4202.0,4287.16,4202.0,4280.2,19.793841247558593,result\round_robin_24cases\per_instance\P5\best_schedule_detail.csv,result\round_robin_24cases\per_instance\P5\best_gantt.png,result\round_robin_24cases\per_instance\P5\curve.png
P6,100,30,2,3957.0,4105.32,4117.0,4126.4,20.53986492872238,result\round_robin_24cases\per_instance\P6\best_schedule_detail.csv,result\round_robin_24cases\per_instance\P6\best_gantt.png,result\round_robin_24cases\per_instance\P6\curve.png
P7,100,1927,81,5700.0,6070.82,5787.0,6049.0,30.05024128675461,result\round_robin_24cases\per_instance\P7\best_schedule_detail.csv,result\round_robin_24cases\per_instance\P7\best_gantt.png,result\round_robin_24cases\per_instance\P7\curve.png
P8,100,1784,75,5570.0,5839.38,5570.0,5582.0,26.57970915555954,result\round_robin_24cases\per_instance\P8\best_schedule_detail.csv,result\round_robin_24cases\per_instance\P8\best_gantt.png,result\round_robin_24cases\per_instance\P8\curve.png
P9,100,1737,73,5290.0,5618.22,5310.0,5328.2,25.158933022022246,result\round_robin_24cases\per_instance\P9\best_schedule_detail.csv,result\round_robin_24cases\per_instance\P9\best_gantt.png,result\round_robin_24cases\per_instance\P9\curve.png
P10,100,778,33,5458.0,5689.6,5650.0,5656.0,15.995930030345917,result\round_robin_24cases\per_instance\P10\best_schedule_detail.csv,result\round_robin_24cases\per_instance\P10\best_gantt.png,result\round_robin_24cases\per_instance\P10\curve.png
