seq,machine,type,op,start,end,duration
1,0,0,0,0.0,117.0,117.0
2,0,0,0,117.0,234.0,117.0
3,0,0,0,234.0,351.0,117.0
4,0,0,0,351.0,468.0,117.0
5,0,0,0,468.0,585.0,117.0
6,0,0,0,585.0,702.0,117.0
7,0,1,0,702.0,916.0,214.0
8,0,0,0,916.0,1033.0,117.0
9,0,0,0,1033.0,1150.0,117.0
10,0,0,0,1150.0,1267.0,117.0
11,0,0,0,1267.0,1384.0,117.0
12,0,0,0,1384.0,1501.0,117.0
13,0,0,0,1501.0,1618.0,117.0
14,0,0,0,1618.0,1735.0,117.0
15,0,1,0,1735.0,1949.0,214.0
16,0,0,0,1949.0,2066.0,117.0
17,0,0,0,2066.0,2183.0,117.0
18,0,0,0,2183.0,2300.0,117.0
19,0,0,0,2300.0,2417.0,117.0
20,0,0,0,2417.0,2534.0,117.0
21,0,0,0,2534.0,2651.0,117.0
22,0,1,0,2651.0,2865.0,214.0
23,0,0,0,2865.0,2982.0,117.0
24,0,0,0,2982.0,3099.0,117.0
25,0,0,0,3099.0,3216.0,117.0
26,0,0,0,3216.0,3333.0,117.0
27,0,0,0,3333.0,3450.0,117.0
28,0,1,0,3450.0,3664.0,214.0
29,0,0,0,3664.0,3781.0,117.0
30,0,0,0,3781.0,3898.0,117.0
31,0,0,0,3898.0,4015.0,117.0
32,0,0,0,4015.0,4132.0,117.0
33,0,0,0,4132.0,4249.0,117.0
34,0,1,0,4249.0,4463.0,214.0
35,0,0,0,4463.0,4580.0,117.0
36,0,0,0,4580.0,4697.0,117.0
37,0,0,0,4697.0,4814.0,117.0
38,0,0,0,4814.0,4931.0,117.0
39,0,1,0,4931.0,5145.0,214.0
40,0,0,0,5145.0,5262.0,117.0
41,0,0,0,5262.0,5379.0,117.0
42,0,0,0,5379.0,5496.0,117.0
43,0,1,0,5496.0,5710.0,214.0
44,0,0,0,5710.0,5827.0,117.0
45,0,0,0,5827.0,5944.0,117.0
46,0,0,0,5944.0,6061.0,117.0
47,0,0,0,6061.0,6178.0,117.0
48,0,0,0,6178.0,6295.0,117.0
49,0,0,0,6295.0,6412.0,117.0
50,0,1,0,6412.0,6626.0,214.0
51,0,0,0,6626.0,6743.0,117.0
52,0,0,0,6743.0,6860.0,117.0
53,0,0,0,6860.0,6977.0,117.0
54,0,0,0,6977.0,7094.0,117.0
55,0,0,0,7094.0,7211.0,117.0
56,0,0,0,7211.0,7328.0,117.0
57,0,1,0,7328.0,7542.0,214.0
58,0,0,0,7542.0,7659.0,117.0
59,0,0,0,7659.0,7776.0,117.0
60,0,1,0,7776.0,7990.0,214.0
61,1,2,0,0.0,62.0,62.0
62,1,2,0,62.0,124.0,62.0
63,1,0,1,124.0,254.0,130.0
64,1,2,0,254.0,316.0,62.0
65,1,2,0,316.0,378.0,62.0
66,1,2,0,378.0,440.0,62.0
67,1,2,0,440.0,502.0,62.0
68,1,0,1,502.0,632.0,130.0
69,1,0,1,632.0,762.0,130.0
70,1,0,1,762.0,892.0,130.0
71,1,2,0,892.0,954.0,62.0
72,1,2,0,954.0,1016.0,62.0
73,1,2,0,1016.0,1078.0,62.0
74,1,0,1,1078.0,1208.0,130.0
75,1,2,0,1208.0,1270.0,62.0
76,1,0,1,1270.0,1400.0,130.0
77,1,2,0,1400.0,1462.0,62.0
78,1,2,0,1462.0,1524.0,62.0
79,1,0,1,1524.0,1654.0,130.0
80,1,0,1,1654.0,1784.0,130.0
81,1,0,1,1784.0,1914.0,130.0
82,1,2,0,1914.0,1976.0,62.0
83,1,2,0,1976.0,2038.0,62.0
84,1,2,0,2038.0,2100.0,62.0
85,1,0,1,2100.0,2230.0,130.0
86,1,0,1,2230.0,2360.0,130.0
87,1,2,0,2360.0,2422.0,62.0
88,1,0,1,2422.0,2552.0,130.0
89,1,0,1,2552.0,2682.0,130.0
90,1,0,1,2682.0,2812.0,130.0
91,1,2,0,2812.0,2874.0,62.0
92,1,2,0,2874.0,2936.0,62.0
93,1,2,0,2936.0,2998.0,62.0
94,1,0,1,2998.0,3128.0,130.0
95,1,0,1,3128.0,3258.0,130.0
96,1,0,1,3258.0,3388.0,130.0
97,1,0,1,3388.0,3518.0,130.0
98,1,0,1,3518.0,3648.0,130.0
99,1,2,0,3648.0,3710.0,62.0
100,1,2,0,3710.0,3772.0,62.0
101,1,2,0,3772.0,3834.0,62.0
102,1,0,1,3834.0,3964.0,130.0
103,1,0,1,3964.0,4094.0,130.0
104,1,2,0,4094.0,4156.0,62.0
105,1,0,1,4156.0,4286.0,130.0
106,1,0,1,4286.0,4416.0,130.0
107,1,2,0,4416.0,4478.0,62.0
108,1,2,0,4478.0,4540.0,62.0
109,1,2,0,4540.0,4602.0,62.0
110,1,0,1,4602.0,4732.0,130.0
111,1,0,1,4732.0,4862.0,130.0
112,1,0,1,4862.0,4992.0,130.0
113,1,0,1,4992.0,5122.0,130.0
114,1,2,0,5122.0,5184.0,62.0
115,1,2,0,5184.0,5246.0,62.0
116,1,2,0,5246.0,5308.0,62.0
117,1,0,1,5308.0,5438.0,130.0
118,1,0,1,5438.0,5568.0,130.0
119,1,0,1,5568.0,5698.0,130.0
120,1,2,0,5698.0,5760.0,62.0
121,1,0,1,5827.0,5957.0,130.0
122,1,0,1,5957.0,6087.0,130.0
123,1,0,1,6087.0,6217.0,130.0
124,1,0,1,6217.0,6347.0,130.0
125,1,0,1,6347.0,6477.0,130.0
126,1,0,1,6477.0,6607.0,130.0
127,1,0,1,6743.0,6873.0,130.0
128,1,0,1,6873.0,7003.0,130.0
129,1,0,1,7003.0,7133.0,130.0
130,1,0,1,7133.0,7263.0,130.0
131,1,0,1,7263.0,7393.0,130.0
132,1,0,1,7393.0,7523.0,130.0
133,1,0,1,7659.0,7789.0,130.0
134,1,0,1,7789.0,7919.0,130.0
135,2,1,0,0.0,150.0,150.0
136,2,1,0,150.0,300.0,150.0
