round_id,start_epoch,end_epoch,round_avg_objective,round_cb_objective
1,1,24,17064.791666666668,4131.0
2,25,48,17737.583333333332,3957.0
3,49,72,17333.166666666668,3846.0
4,73,96,16596.75,3784.0
5,97,120,15930.291666666666,4080.0
6,121,144,15443.333333333334,3876.0
7,145,168,15487.5,3886.0
8,169,192,15096.541666666666,3748.0
9,193,216,15204.541666666666,3736.0
10,217,240,15074.75,3691.0
11,241,264,15122.333333333334,3756.0
12,265,288,15167.25,3691.0
13,289,312,15128.083333333334,3691.0
14,313,336,15255.375,3728.0
15,337,360,15281.166666666666,3748.0
16,361,384,15203.25,3721.0
17,385,408,15124.25,3721.0
18,409,432,15286.083333333334,3721.0
19,433,456,15263.833333333334,3801.0
20,457,480,15190.958333333334,3801.0
21,481,504,15263.958333333334,3803.0
22,505,528,15181.208333333334,3762.0
23,529,552,15072.083333333334,3803.0
24,553,576,15031.541666666666,3736.0
25,577,600,14890.041666666666,3670.0
26,601,624,14911.083333333334,3726.0
27,625,648,14860.5,3724.0
28,649,672,14929.708333333334,3655.0
29,673,696,14963.166666666666,3670.0
30,697,720,15076.625,3698.0
31,721,744,14975.166666666666,3701.0
32,745,768,14963.333333333334,3746.0
33,769,792,15064.625,3700.0
34,793,816,15095.208333333334,3704.0
35,817,840,15040.916666666666,3721.0
36,841,864,15009.583333333334,3765.0
37,865,888,14996.958333333334,3704.0
38,889,912,14993.833333333334,3846.0
39,913,936,14912.041666666666,3775.0
40,937,960,14876.583333333334,3791.0
41,961,984,14926.791666666666,3738.0
42,985,1008,14930.75,3693.0
43,1009,1032,14989.5,3731.0
44,1033,1056,14965.791666666666,3708.0
45,1057,1080,14913.208333333334,3714.0
46,1081,1104,14899.041666666666,3725.0
47,1105,1128,14919.333333333334,3745.0
48,1129,1152,14701.041666666666,3711.0
49,1153,1176,14867.583333333334,3758.0
50,1177,1200,14760.75,3791.0
51,1201,1224,14712.5,3703.0
52,1225,1248,14712.958333333334,3746.0
53,1249,1272,14789.458333333334,3769.0
54,1273,1296,14731.583333333334,3726.0
55,1297,1320,14744.291666666666,3751.0
56,1321,1344,14758.833333333334,3751.0
57,1345,1368,14813.125,3746.0
58,1369,1392,14836.041666666666,3710.0
59,1393,1416,14867.958333333334,3746.0
60,1417,1440,14859.791666666666,3776.0
61,1441,1464,14854.583333333334,3744.0
62,1465,1488,14849.958333333334,3744.0
63,1489,1512,14885.416666666666,3706.0
64,1513,1536,14803.5,3706.0
65,1537,1560,14765.875,3744.0
66,1561,1584,14870.75,3726.0
67,1585,1608,14966.958333333334,3782.0
68,1609,1632,14869.916666666666,3712.0
69,1633,1656,14688.291666666666,3746.0
70,1657,1680,14700.125,3780.0
71,1681,1704,14738.0,3749.0
72,1705,1728,14674.416666666666,3749.0
73,1729,1752,14680.458333333334,3749.0
74,1753,1776,14707.708333333334,3738.0
75,1777,1800,14725.0,3738.0
76,1801,1824,14705.416666666666,3749.0
77,1825,1848,14726.333333333334,3749.0
78,1849,1872,14704.875,3749.0
79,1873,1896,14689.375,3738.0
80,1897,1920,14718.0,3744.0
81,1921,1944,14728.25,3701.0
82,1945,1968,14743.666666666666,3712.0
83,1969,1992,14705.166666666666,3706.0
84,1993,2016,14722.708333333334,3714.0
85,2017,2040,14724.333333333334,3706.0
86,2041,2064,14745.75,3712.0
87,2065,2088,14815.708333333334,3691.0
88,2089,2112,14789.625,3691.0
89,2113,2136,14790.916666666666,3691.0
90,2137,2160,14748.25,3691.0
91,2161,2184,14757.375,3691.0
92,2185,2208,14735.75,3701.0
93,2209,2232,14740.5,3691.0
94,2233,2256,14763.333333333334,3691.0
95,2257,2280,14741.291666666666,3691.0
96,2281,2304,14736.333333333334,3691.0
97,2305,2328,14716.25,3691.0
98,2329,2352,14751.375,3706.0
99,2353,2376,14764.125,3706.0
100,2377,2400,14767.5,3706.0
